date,hospital_id,blood_group,component,opening_stock,received,issued,expired,closing_stock
2025-01-01,H001,A+,PRBC,60,21,19,1,61
2025-01-01,H001,A+,PLT,27,13,14,1,25
2025-01-01,H001,A+,FFP,21,5,8,1,17
2025-01-01,H001,B+,PRBC,37,18,18,2,35
2025-01-01,H001,B+,PLT,35,15,14,1,35
2025-01-01,H001,B+,FFP,34,7,7,1,33
2025-01-01,H001,O+,PRBC,28,26,24,1,29
2025-01-01,H001,O+,PLT,26,18,17,1,26
2025-01-01,H001,O+,FFP,54,10,9,1,54
2025-01-01,H001,AB+,PRBC,25,6,7,1,23
2025-01-01,H001,AB+,PLT,57,4,6,2,53
2025-01-01,H001,AB+,FFP,47,4,3,2,46
2025-01-01,H001,A-,PRBC,22,9,7,1,23
2025-01-01,H001,A-,PLT,21,2,3,1,19
2025-01-01,H001,A-,FFP,25,7,3,1,28
2025-01-01,H001,B-,PRBC,33,8,5,1,35
2025-01-01,H001,B-,PLT,34,4,6,1,31
2025-01-01,H001,B-,FFP,52,0,1,2,49
2025-01-01,H001,O-,PRBC,58,6,6,2,56
2025-01-01,H001,O-,PLT,21,5,4,1,21
2025-01-01,H001,O-,FFP,55,7,0,1,61
2025-01-01,H001,AB-,PRBC,32,6,2,1,35
2025-01-01,H001,AB-,PLT,54,4,1,2,55
2025-01-01,H001,AB-,FFP,46,2,1,1,46
2025-01-01,H002,A+,PRBC,34,28,24,2,36
2025-01-01,H002,A+,PLT,48,21,19,1,49
2025-01-01,H002,A+,FFP,57,8,10,1,54
2025-01-01,H002,B+,PRBC,37,21,22,1,35
2025-01-01,H002,B+,PLT,20,16,16,1,19
2025-01-01,H002,B+,FFP,30,11,9,1,31
2025-01-01,H002,O+,PRBC,47,29,29,2,45
2025-01-01,H002,O+,PLT,41,25,24,2,40
2025-01-01,H002,O+,FFP,37,16,12,1,40
2025-01-01,H002,AB+,PRBC,29,9,8,1,29
2025-01-01,H002,AB+,PLT,33,8,4,2,35
2025-01-01,H002,AB+,FFP,41,5,4,1,41
2025-01-01,H002,A-,PRBC,26,8,6,1,27
2025-01-01,H002,A-,PLT,25,5,6,1,23
2025-01-01,H002,A-,FFP,44,6,1,2,47
2025-01-01,H002,B-,PRBC,26,6,5,1,26
2025-01-01,H002,B-,PLT,42,4,4,1,41
2025-01-01,H002,B-,FFP,42,5,2,1,44
2025-01-01,H002,O-,PRBC,58,10,8,2,58
2025-01-01,H002,O-,PLT,36,7,7,2,34
2025-01-01,H002,O-,FFP,22,4,2,1,23
2025-01-01,H002,AB-,PRBC,49,1,3,2,45
2025-01-01,H002,AB-,PLT,54,5,2,2,55
2025-01-01,H002,AB-,FFP,27,7,2,1,31
2025-01-02,H001,A+,PRBC,61,18,20,2,57
2025-01-02,H001,A+,PLT,25,12,12,1,24
2025-01-02,H001,A+,FFP,17,4,5,0,16
2025-01-02,H001,B+,PRBC,35,22,19,1,37
2025-01-02,H001,B+,PLT,35,14,13,1,35
2025-01-02,H001,B+,FFP,33,5,6,1,31
2025-01-02,H001,O+,PRBC,29,27,25,1,30
2025-01-02,H001,O+,PLT,26,17,17,1,25
2025-01-02,H001,O+,FFP,54,12,10,2,54
2025-01-02,H001,AB+,PRBC,23,8,7,1,23
2025-01-02,H001,AB+,PLT,53,7,7,2,51
2025-01-02,H001,AB+,FFP,46,3,4,2,43
2025-01-02,H001,A-,PRBC,23,8,5,1,25
2025-01-02,H001,A-,PLT,19,6,4,0,21
2025-01-02,H001,A-,FFP,28,4,2,1,29
2025-01-02,H001,B-,PRBC,35,8,6,2,35
2025-01-02,H001,B-,PLT,31,0,2,1,28
2025-01-02,H001,B-,FFP,49,1,2,2,46
2025-01-02,H001,O-,PRBC,56,6,8,1,53
2025-01-02,H001,O-,PLT,21,3,3,1,20
2025-01-02,H001,O-,FFP,61,5,1,2,63
2025-01-02,H001,AB-,PRBC,35,2,0,2,35
2025-01-02,H001,AB-,PLT,55,5,1,1,58
2025-01-02,H001,AB-,FFP,46,1,2,1,44
2025-01-02,H002,A+,PRBC,36,27,25,2,36
2025-01-02,H002,A+,PLT,49,17,17,1,48
2025-01-02,H002,A+,FFP,54,10,10,2,52
2025-01-02,H002,B+,PRBC,35,22,21,1,35
2025-01-02,H002,B+,PLT,19,11,14,0,16
2025-01-02,H002,B+,FFP,31,9,8,1,31
2025-01-02,H002,O+,PRBC,45,32,30,1,46
2025-01-02,H002,O+,PLT,40,26,21,1,44
2025-01-02,H002,O+,FFP,40,11,9,1,41
2025-01-02,H002,AB+,PRBC,29,9,8,1,29
2025-01-02,H002,AB+,PLT,35,8,5,1,37
2025-01-02,H002,AB+,FFP,41,7,4,1,43
2025-01-02,H002,A-,PRBC,27,9,6,1,29
2025-01-02,H002,A-,PLT,23,2,3,1,21
2025-01-02,H002,A-,FFP,47,0,2,1,44
2025-01-02,H002,B-,PRBC,26,2,5,1,22
2025-01-02,H002,B-,PLT,41,6,4,1,42
2025-01-02,H002,B-,FFP,44,0,3,1,40
2025-01-02,H002,O-,PRBC,58,8,7,2,57
2025-01-02,H002,O-,PLT,34,8,6,2,34
2025-01-02,H002,O-,FFP,23,0,2,1,20
2025-01-02,H002,AB-,PRBC,45,1,2,2,42
2025-01-02,H002,AB-,PLT,55,5,2,2,56
2025-01-02,H002,AB-,FFP,31,4,0,1,34
2025-01-03,H001,A+,PRBC,57,23,19,2,59
2025-01-03,H001,A+,PLT,24,13,12,1,24
2025-01-03,H001,A+,FFP,16,8,9,1,14
2025-01-03,H001,B+,PRBC,37,18,18,2,35
2025-01-03,H001,B+,PLT,35,15,12,1,37
2025-01-03,H001,B+,FFP,31,3,6,1,27
2025-01-03,H001,O+,PRBC,30,25,24,1,30
2025-01-03,H001,O+,PLT,25,17,17,1,24
2025-01-03,H001,O+,FFP,54,9,9,1,53
2025-01-03,H001,AB+,PRBC,23,9,7,1,24
2025-01-03,H001,AB+,PLT,51,6,4,1,52
2025-01-03,H001,AB+,FFP,43,0,2,1,40
2025-01-03,H001,A-,PRBC,25,2,4,1,22
2025-01-03,H001,A-,PLT,21,0,1,1,19
2025-01-03,H001,A-,FFP,29,2,0,1,30
2025-01-03,H001,B-,PRBC,35,4,6,1,32
2025-01-03,H001,B-,PLT,28,6,5,2,27
2025-01-03,H001,B-,FFP,46,1,1,2,44
2025-01-03,H001,O-,PRBC,53,10,7,2,54
2025-01-03,H001,O-,PLT,20,2,5,1,16
2025-01-03,H001,O-,FFP,63,3,5,1,60
2025-01-03,H001,AB-,PRBC,35,6,3,1,37
2025-01-03,H001,AB-,PLT,58,3,2,1,58
2025-01-03,H001,AB-,FFP,44,2,0,1,45
2025-01-03,H002,A+,PRBC,36,29,22,1,42
2025-01-03,H002,A+,PLT,48,18,17,1,48
2025-01-03,H002,A+,FFP,52,8,7,1,52
2025-01-03,H002,B+,PRBC,35,21,21,1,34
2025-01-03,H002,B+,PLT,16,14,15,1,14
2025-01-03,H002,B+,FFP,31,9,7,1,32
2025-01-03,H002,O+,PRBC,46,38,32,2,50
2025-01-03,H002,O+,PLT,44,23,22,2,43
2025-01-03,H002,O+,FFP,41,8,10,1,38
2025-01-03,H002,AB+,PRBC,29,13,10,1,31
2025-01-03,H002,AB+,PLT,37,5,6,1,35
2025-01-03,H002,AB+,FFP,43,3,2,1,43
2025-01-03,H002,A-,PRBC,29,6,7,1,27
2025-01-03,H002,A-,PLT,21,4,5,1,19
2025-01-03,H002,A-,FFP,44,1,1,1,43
2025-01-03,H002,B-,PRBC,22,8,6,1,23
2025-01-03,H002,B-,PLT,42,4,3,2,41
2025-01-03,H002,B-,FFP,40,3,1,1,41
2025-01-03,H002,O-,PRBC,57,8,9,2,54
2025-01-03,H002,O-,PLT,34,9,8,1,34
2025-01-03,H002,O-,FFP,20,6,1,1,24
2025-01-03,H002,AB-,PRBC,42,1,3,1,39
2025-01-03,H002,AB-,PLT,56,1,1,2,54
2025-01-03,H002,AB-,FFP,34,1,1,1,33
2025-01-04,H001,A+,PRBC,59,17,16,2,58
2025-01-04,H001,A+,PLT,24,9,11,1,21
2025-01-04,H001,A+,FFP,14,6,5,1,14
2025-01-04,H001,B+,PRBC,35,12,15,1,31
2025-01-04,H001,B+,PLT,37,13,11,2,37
2025-01-04,H001,B+,FFP,27,6,5,1,27
2025-01-04,H001,O+,PRBC,30,25,20,1,34
2025-01-04,H001,O+,PLT,24,13,14,0,23
2025-01-04,H001,O+,FFP,53,8,6,1,54
2025-01-04,H001,AB+,PRBC,24,7,7,1,23
2025-01-04,H001,AB+,PLT,52,4,5,1,50
2025-01-04,H001,AB+,FFP,40,1,1,1,39
2025-01-04,H001,A-,PRBC,22,3,4,1,20
2025-01-04,H001,A-,PLT,19,3,4,1,17
2025-01-04,H001,A-,FFP,30,0,0,1,29
2025-01-04,H001,B-,PRBC,32,6,5,1,32
2025-01-04,H001,B-,PLT,27,3,2,1,27
2025-01-04,H001,B-,FFP,44,4,2,2,44
2025-01-04,H001,O-,PRBC,54,4,5,1,52
2025-01-04,H001,O-,PLT,16,4,2,1,17
2025-01-04,H001,O-,FFP,60,5,0,2,63
2025-01-04,H001,AB-,PRBC,37,2,2,2,35
2025-01-04,H001,AB-,PLT,58,1,2,2,55
2025-01-04,H001,AB-,FFP,45,3,0,2,46
2025-01-04,H002,A+,PRBC,42,23,21,2,42
2025-01-04,H002,A+,PLT,48,13,13,2,46
2025-01-04,H002,A+,FFP,52,8,7,2,51
2025-01-04,H002,B+,PRBC,34,19,18,1,34
2025-01-04,H002,B+,PLT,14,12,13,1,12
2025-01-04,H002,B+,FFP,32,6,6,1,31
2025-01-04,H002,O+,PRBC,50,28,25,2,51
2025-01-04,H002,O+,PLT,43,21,18,1,45
2025-01-04,H002,O+,FFP,38,9,9,1,37
2025-01-04,H002,AB+,PRBC,31,8,7,1,31
2025-01-04,H002,AB+,PLT,35,9,6,2,36
2025-01-04,H002,AB+,FFP,43,5,1,1,46
2025-01-04,H002,A-,PRBC,27,8,6,1,28
2025-01-04,H002,A-,PLT,19,2,5,1,15
2025-01-04,H002,A-,FFP,43,2,0,1,44
2025-01-04,H002,B-,PRBC,23,7,4,1,25
2025-01-04,H002,B-,PLT,41,1,4,1,37
2025-01-04,H002,B-,FFP,41,2,1,1,41
2025-01-04,H002,O-,PRBC,54,7,8,1,52
2025-01-04,H002,O-,PLT,34,6,5,1,34
2025-01-04,H002,O-,FFP,24,0,2,1,21
2025-01-04,H002,AB-,PRBC,39,5,2,1,41
2025-01-04,H002,AB-,PLT,54,3,3,1,53
2025-01-04,H002,AB-,FFP,33,0,1,1,31
2025-01-05,H001,A+,PRBC,58,16,16,1,57
2025-01-05,H001,A+,PLT,21,10,9,1,21
2025-01-05,H001,A+,FFP,14,3,5,1,11
2025-01-05,H001,B+,PRBC,31,19,15,1,34
2025-01-05,H001,B+,PLT,37,10,10,1,36
2025-01-05,H001,B+,FFP,27,7,4,1,29
2025-01-05,H001,O+,PRBC,34,22,20,1,35
2025-01-05,H001,O+,PLT,23,16,14,1,24
2025-01-05,H001,O+,FFP,54,8,7,2,53
2025-01-05,H001,AB+,PRBC,23,4,5,1,21
