date,hospital_id,blood_group,component,units_issued
2025-01-01,H001,A+,PRBC,19
2025-01-01,H001,A+,PLT,14
2025-01-01,H001,A+,FFP,8
2025-01-01,H001,B+,PRBC,18
2025-01-01,H001,B+,PLT,14
2025-01-01,H001,B+,FFP,7
2025-01-01,H001,O+,PRBC,24
2025-01-01,H001,O+,PLT,17
2025-01-01,H001,O+,FFP,9
2025-01-01,H001,AB+,PRBC,7
2025-01-01,H001,AB+,PLT,6
2025-01-01,H001,AB+,FFP,3
2025-01-01,H001,A-,PRBC,7
2025-01-01,H001,A-,PLT,3
2025-01-01,H001,A-,FFP,3
2025-01-01,H001,B-,PRBC,5
2025-01-01,H001,B-,PLT,6
2025-01-01,H001,B-,FFP,1
2025-01-01,H001,O-,PRBC,6
2025-01-01,H001,O-,PLT,4
2025-01-01,H001,O-,FFP,0
2025-01-01,H001,AB-,PRBC,2
2025-01-01,H001,AB-,PLT,1
2025-01-01,H001,AB-,FFP,1
2025-01-01,H002,A+,PRBC,24
2025-01-01,H002,A+,PLT,19
2025-01-01,H002,A+,FFP,10
2025-01-01,H002,B+,PRBC,22
2025-01-01,H002,B+,PLT,16
2025-01-01,H002,B+,FFP,9
2025-01-01,H002,O+,PRBC,29
2025-01-01,H002,O+,PLT,24
2025-01-01,H002,O+,FFP,12
2025-01-01,H002,AB+,PRBC,8
2025-01-01,H002,AB+,PLT,4
2025-01-01,H002,AB+,FFP,4
2025-01-01,H002,A-,PRBC,6
2025-01-01,H002,A-,PLT,6
2025-01-01,H002,A-,FFP,1
2025-01-01,H002,B-,PRBC,5
2025-01-01,H002,B-,PLT,4
2025-01-01,H002,B-,FFP,2
2025-01-01,H002,O-,PRBC,8
2025-01-01,H002,O-,PLT,7
2025-01-01,H002,O-,FFP,2
2025-01-01,H002,AB-,PRBC,3
2025-01-01,H002,AB-,PLT,2
2025-01-01,H002,AB-,FFP,2
2025-01-02,H001,A+,PRBC,20
2025-01-02,H001,A+,PLT,12
2025-01-02,H001,A+,FFP,5
2025-01-02,H001,B+,PRBC,19
2025-01-02,H001,B+,PLT,13
2025-01-02,H001,B+,FFP,6
2025-01-02,H001,O+,PRBC,25
2025-01-02,H001,O+,PLT,17
2025-01-02,H001,O+,FFP,10
2025-01-02,H001,AB+,PRBC,7
2025-01-02,H001,AB+,PLT,7
2025-01-02,H001,AB+,FFP,4
2025-01-02,H001,A-,PRBC,5
2025-01-02,H001,A-,PLT,4
2025-01-02,H001,A-,FFP,2
2025-01-02,H001,B-,PRBC,6
2025-01-02,H001,B-,PLT,2
2025-01-02,H001,B-,FFP,2
2025-01-02,H001,O-,PRBC,8
2025-01-02,H001,O-,PLT,3
2025-01-02,H001,O-,FFP,1
2025-01-02,H001,AB-,PRBC,0
2025-01-02,H001,AB-,PLT,1
2025-01-02,H001,AB-,FFP,2
2025-01-02,H002,A+,PRBC,25
2025-01-02,H002,A+,PLT,17
2025-01-02,H002,A+,FFP,10
2025-01-02,H002,B+,PRBC,21
2025-01-02,H002,B+,PLT,14
2025-01-02,H002,B+,FFP,8
2025-01-02,H002,O+,PRBC,30
2025-01-02,H002,O+,PLT,21
2025-01-02,H002,O+,FFP,9
2025-01-02,H002,AB+,PRBC,8
2025-01-02,H002,AB+,PLT,5
2025-01-02,H002,AB+,FFP,4
2025-01-02,H002,A-,PRBC,6
2025-01-02,H002,A-,PLT,3
2025-01-02,H002,A-,FFP,2
2025-01-02,H002,B-,PRBC,5
2025-01-02,H002,B-,PLT,4
2025-01-02,H002,B-,FFP,3
2025-01-02,H002,O-,PRBC,7
2025-01-02,H002,O-,PLT,6
2025-01-02,H002,O-,FFP,2
2025-01-02,H002,AB-,PRBC,2
2025-01-02,H002,AB-,PLT,2
2025-01-02,H002,AB-,FFP,0
2025-01-03,H001,A+,PRBC,19
2025-01-03,H001,A+,PLT,12
2025-01-03,H001,A+,FFP,9
2025-01-03,H001,B+,PRBC,18
2025-01-03,H001,B+,PLT,12
2025-01-03,H001,B+,FFP,6
2025-01-03,H001,O+,PRBC,24
2025-01-03,H001,O+,PLT,17
2025-01-03,H001,O+,FFP,9
2025-01-03,H001,AB+,PRBC,7
2025-01-03,H001,AB+,PLT,4
2025-01-03,H001,AB+,FFP,2
2025-01-03,H001,A-,PRBC,4
2025-01-03,H001,A-,PLT,1
2025-01-03,H001,A-,FFP,0
2025-01-03,H001,B-,PRBC,6
2025-01-03,H001,B-,PLT,5
2025-01-03,H001,B-,FFP,1
2025-01-03,H001,O-,PRBC,7
2025-01-03,H001,O-,PLT,5
2025-01-03,H001,O-,FFP,5
2025-01-03,H001,AB-,PRBC,3
2025-01-03,H001,AB-,PLT,2
2025-01-03,H001,AB-,FFP,0
2025-01-03,H002,A+,PRBC,22
2025-01-03,H002,A+,PLT,17
2025-01-03,H002,A+,FFP,7
2025-01-03,H002,B+,PRBC,21
2025-01-03,H002,B+,PLT,15
2025-01-03,H002,B+,FFP,7
